Step,Value
402098,50.0
402948,50.0
404348,50.0
406248,50.0
406798,50.0
406948,50.0
409798,50.0
410048,49.0
410598,49.0
414248,49.0
414798,49.0
414848,49.0
414948,49.0
415198,49.0
415248,49.0
416498,49.0
416748,49.0
416898,49.0
417298,49.0
418298,49.0
418448,49.0
419248,49.0
420348,49.0
420998,49.0
421098,49.0
423598,49.0
424798,49.0
425148,49.0
425448,49.0
426648,49.0
426798,49.0
429748,49.0
430598,49.0
431648,49.0
434048,49.0
434198,49.0
434998,49.0
436548,49.0
437948,49.0
438348,49.0
438548,49.0
438948,49.0
440798,48.0
441048,48.0
442648,48.0
443048,48.0
443498,48.0
444548,48.0
445148,48.0
445248,48.0
447148,48.0
447748,48.0
449848,48.0
453248,48.0
453698,48.0
453848,48.0
457648,48.0
457748,48.0
457798,48.0
460448,48.0
461448,48.0
461848,48.0
464248,48.0
465148,48.0
465548,48.0
467098,48.0
469598,47.0
471598,47.0
472398,47.0
473098,47.0
476148,47.0
477248,47.0
479898,47.0
480898,47.0
480998,47.0
482598,47.0
483798,47.0
484498,47.0
486648,47.0
488048,47.0
488148,47.0
488348,47.0
489098,47.0
491148,47.0
491298,47.0
493948,47.0
495498,47.0
495548,47.0
496398,47.0
496548,47.0
498248,46.0
498348,46.0
498698,46.0
500498,46.0
501548,46.0
502748,46.0
502998,46.0
503298,46.0
504648,46.0
505648,46.0
505898,46.0
506648,46.0
506898,46.0
509048,46.0
510298,46.0
510398,46.0
511198,46.0
511698,46.0
514198,46.0
515148,46.0
515798,46.0
516098,46.0
516748,46.0
519598,46.0
520748,46.0
520998,46.0
522198,46.0
522748,46.0
523298,46.0
523948,46.0
525148,46.0
529898,45.0
529948,45.0
530148,45.0
531148,45.0
531198,45.0
531648,45.0
533848,45.0
534198,45.0
534348,45.0
535298,45.0
537998,45.0
538448,45.0
538548,45.0
538748,45.0
539048,45.0
539198,45.0
539548,45.0
539948,45.0
540098,45.0
540698,45.0
542048,45.0
542248,45.0
