Step,Value
154599,527.0
154699,527.0
154749,528.0
154899,528.0
154999,529.0
155399,530.0
155649,531.0
155749,531.0
156199,533.0
156249,533.0
156499,534.0
156799,535.0
157849,538.0
157899,538.0
157949,539.0
158099,539.0
158199,539.0
159098,542.0
159199,543.0
159391,543.0
159399,544.0
159449,544.0
159699,545.0
159849,545.0
159949,545.0
159999,546.0
160299,547.0
160499,547.0
160599,548.0
160849,548.0
161149,549.0
161349,550.0
161442,550.0
161499,551.0
162049,553.0
162149,553.0
162299,553.0
162799,555.0
162949,556.0
163199,556.0
163249,557.0
163699,558.0
163786,558.0
163849,559.0
164399,561.0
164665,561.0
165099,563.0
165299,564.0
165599,565.0
165749,565.0
165837,565.0
166699,568.0
166716,568.0
166749,569.0
166999,569.0
167049,570.0
167302,570.0
167499,571.0
167849,572.0
167888,572.0
168099,573.0
168149,573.0
168299,574.0
168767,575.0
169049,576.0
169299,577.0
169399,578.0
169899,579.0
170049,580.0
170232,580.0
170299,581.0
170525,581.0
170699,582.0
170899,583.0
171111,583.0
171299,584.0
171349,584.0
171404,584.0
171799,586.0
171849,586.0
172299,588.0
172399,588.0
172449,588.0
172749,589.0
172849,589.0
172869,589.0
172899,590.0
172949,590.0
173149,590.0
173199,591.0
174149,594.0
174299,594.0
174799,596.0
174899,596.0
175099,597.0
175149,597.0
175213,597.0
175549,599.0
175799,599.0
176092,600.0
177264,604.0
177557,605.0
178049,607.0
178249,608.0
178649,609.0
178699,609.0
179099,611.0
179149,611.0
179199,611.0
179299,611.0
179349,612.0
179449,612.0
179499,612.0
179549,612.0
179608,612.0
180399,615.0
180599,616.0
180799,617.0
180949,617.0
181073,617.0
181299,618.0
181749,620.0
182149,621.0
182249,622.0
182299,622.0
182699,623.0
182949,624.0
183599,626.0
183649,626.0
183899,627.0
184049,628.0
184199,628.0
184449,629.0
184549,629.0
184899,631.0
185099,631.0
185349,632.0
185549,633.0
185799,634.0
185999,634.0
186199,635.0
186499,636.0
186649,637.0
187049,638.0
187199,638.0
187699,640.0
187999,641.0
188105,641.0
188199,642.0
188249,642.0
188399,643.0
188449,643.0
188499,643.0
188999,645.0
189277,645.0
189299,646.0
189399,646.0
189599,647.0
189649,647.0
189799,647.0
190049,648.0
190199,649.0
190499,650.0
190949,651.0
191199,652.0
191349,653.0
191499,653.0
191849,654.0
191914,654.0
192499,656.0
192649,657.0
192699,657.0
193499,660.0
193549,660.0
193672,660.0
193965,661.0
194049,662.0
194399,663.0
194499,663.0
194549,663.0
195099,665.0
195149,666.0
195199,666.0
195549,667.0
195599,667.0
195723,667.0
195799,668.0
196199,669.0
196309,669.0
196399,670.0
196499,670.0
196999,672.0
197749,674.0
197949,675.0
197999,675.0
198360,676.0
198649,677.0
198799,678.0
198946,678.0
199199,679.0
199249,680.0
199449,680.0
199749,681.0
199799,681.0
199825,681.0
200249,683.0
200949,685.0
201149,686.0
201349,687.0
201583,687.0
201599,688.0
201699,688.0
201849,688.0
202249,690.0
202449,690.0
202462,690.0
202749,691.0
202899,692.0
202949,692.0
203299,693.0
203349,694.0
203399,694.0
203449,694.0
203549,694.0
203649,695.0
203699,695.0
203749,695.0
203799,695.0
203949,696.0
204049,696.0
204199,696.0
204220,696.0
204249,697.0
204299,697.0
204399,697.0
204513,697.0
204549,698.0
204806,698.0
205099,699.0
205099,699.0
205948,701.0
206948,705.0
207098,705.0
208198,709.0
209198,712.0
211898,722.0
212298,723.0
214948,732.0
215148,733.0
216048,736.0
216818,738.0
218298,744.0
218398,744.0
218748,745.0
219998,749.0
220848,752.0
223148,760.0
224798,766.0
225398,768.0
228048,777.0
229198,781.0
229898,783.0
230198,784.0
230248,784.0
232248,791.0
232798,793.0
233398,795.0
233812,796.0
235648,803.0
235998,804.0
237848,810.0
237998,811.0
238098,811.0
238698,813.0
238793,813.0
239398,816.0
239672,816.0
240848,821.0
245532,836.0
246648,840.0
246698,840.0
246948,841.0
247948,845.0
248098,845.0
248462,846.0
250548,854.0
250698,854.0
251848,858.0
252098,859.0
252298,860.0
254548,867.0
254748,868.0
254798,868.0
255548,871.0
256098,873.0
258298,880.0
259010,882.0
261354,890.0
261498,891.0
262098,893.0
262248,894.0
264298,901.0
264598,902.0
265548,905.0
266048,907.0
266498,908.0
267798,912.0
268248,914.0
268848,916.0
270198,921.0
271448,925.0
272148,927.0
272798,930.0
272998,930.0
273698,933.0
275198,938.0
276998,944.0
277398,945.0
278148,948.0
278548,949.0
279148,951.0
279227,951.0
279348,952.0
281248,958.0
283148,965.0
283915,967.0
284298,969.0
284848,971.0
284998,971.0
285348,972.0
287048,978.0
287748,981.0
288198,982.0
288310,982.0
290648,990.0
291148,992.0
292119,995.0
293877,1001.0
294198,1003.0
294398,1003.0
294698,1004.0
296948,1012.0
297248,1013.0
298565,1017.0
298748,1018.0
299098,1019.0
299598,1021.0
300448,1024.0
300648,1025.0
300698,1025.0
301548,1028.0
301788,1028.0
303698,1035.0
304198,1037.0
305304,1040.0
305698,1042.0
307198,1047.0
307248,1047.0
307348,1047.0
309198,1054.0
309948,1056.0
309998,1057.0
310248,1057.0
311298,1061.0
311348,1061.0
311750,1062.0
311848,1063.0
312048,1064.0
312648,1066.0
312922,1066.0
313298,1068.0
313948,1070.0
314198,1071.0
319848,1090.0
320598,1093.0
322198,1098.0
322798,1100.0
324298,1105.0
328848,1121.0
331898,1131.0
332248,1132.0
333748,1138.0
334898,1142.0
335048,1142.0
337534,1150.0
340171,1159.0
341636,1164.0
341648,1165.0
343101,1169.0
343548,1171.0
343698,1172.0
343798,1172.0
343848,1172.0
346324,1180.0
348048,1186.0
349348,1191.0
350498,1195.0
350719,1195.0
351648,1199.0
352477,1201.0
353098,1204.0
353798,1206.0
358923,1223.0
359698,1226.0
